26/03/2020;Pays de la Loire;52;17
26/03/2020;Provence-Alpes-Côte d'Azur;93;27
27/03/2020;Auvergne-Rhône-Alpes;84;77
27/03/2020;Bourgogne-Franche-Comté;27;24
27/03/2020;Bretagne;53;9
27/03/2020;Centre-Val de Loire;24;18
27/03/2020;Corse;94;1
27/03/2020;Grand-Est;44;102
27/03/2020;Guadeloupe;1;7
27/03/2020;Guyane;3;0
27/03/2020;Hauts-de-France;32;51
27/03/2020;Ile-de-France;11;195
27/03/2020;La Réunion;4;0
27/03/2020;Martinique;2;3
27/03/2020;Mayotte;6;0
27/03/2020;Normandie;28;21
27/03/2020;Nouvelle-Aquitaine;75;27
27/03/2020;Occitanie;76;26
27/03/2020;Pays de la Loire;52;20
27/03/2020;Provence-Alpes-Côte d'Azur;93;27
28/03/2020;Auvergne-Rhône-Alpes;84;108
28/03/2020;Bourgogne-Franche-Comté;27;21
28/03/2020;Bretagne;53;19
28/03/2020;Centre-Val de Loire;24;13
28/03/2020;Corse;94;6
28/03/2020;Grand-Est;44;114
28/03/2020;Guadeloupe;1;0
28/03/2020;Guyane;3;0
28/03/2020;Hauts-de-France;32;38
28/03/2020;Ile-de-France;11;242
28/03/2020;La Réunion;4;1
28/03/2020;Martinique;2;0
28/03/2020;Mayotte;6;0
28/03/2020;Normandie;28;25
28/03/2020;Nouvelle-Aquitaine;75;23
28/03/2020;Occitanie;76;35
28/03/2020;Pays de la Loire;52;21
28/03/2020;Provence-Alpes-Côte d'Azur;93;29
29/03/2020;Auvergne-Rhône-Alpes;84;89
29/03/2020;Bourgogne-Franche-Comté;27;33
29/03/2020;Bretagne;53;4
29/03/2020;Centre-Val de Loire;24;17
29/03/2020;Corse;94;4
29/03/2020;Grand-Est;44;71
29/03/2020;Guadeloupe;1;0
29/03/2020;Guyane;3;0
29/03/2020;Hauts-de-France;32;37
29/03/2020;Ile-de-France;11;158
29/03/2020;La Réunion;4;0
29/03/2020;Martinique;2;2
29/03/2020;Mayotte;6;0
29/03/2020;Normandie;28;19
29/03/2020;Nouvelle-Aquitaine;75;35
29/03/2020;Occitanie;76;27
29/03/2020;Pays de la Loire;52;9
29/03/2020;Provence-Alpes-Côte d'Azur;93;38
30/03/2020;Auvergne-Rhône-Alpes;84;116
30/03/2020;Bourgogne-Franche-Comté;27;20
